FROZEN DIRECT REPLAY 3 interior 1 min_ratio 2.5610337797013676 mass matrix difference 1.3600232051658168e-15
bin required mass slack ratio
10 0.0097437500000000007 0.029833067703116778 0.020089317703116776 3.0617644852461092
11 0.011021250000000002 0.03418541479615337 0.023164164796153366 3.1017729201454793
12 0.014096874999999998 0.043201314094645941 0.029104439094645943 3.0646021969156956
13 0.017404375 0.053902017697681111 0.036497642697681111 3.0970383996943935
14 0.019289374999999997 0.059111257965138123 0.039821882965138125 3.0644465134374821
15 0.018019374999999997 0.056283732418926258 0.038264357418926261 3.1235119097597042
16 0.019400624999999994 0.058972084741300029 0.039571459741300039 3.0397002540536735
17 0.020126249999999995 0.062283069378024969 0.042156819378024971 3.0946186884305313
18 0.023293124999999998 0.071749336790162391 0.048456211790162393 3.0802795584603784
19 0.027025000000000004 0.083119517596414449 0.056094517596414442 3.0756528250292114
FROZEN DIRECT REPLAY 8 improved 1 min_ratio 1.0299999999999925 mass matrix difference 1.1102230246251565e-16
bin required mass slack ratio
0 0.00018125000000000001 0.00018668749999999865 5.4374999999986346e-06 1.0299999999999925
1 0.00017499999999999997 0.0022668896432530513 0.0020918896432530515 12.953655104303152
2 0.00068125000000000011 0.0036133208410933193 0.0029320708410933193 5.303957197935147
3 0.0011374999999999998 0.0021316482703318527 0.00099414827033185286 1.87397650139064
4 0.0014625 0.0038197943159734606 0.0023572943159734603 2.6118251733151867
5 0.0029937499999999999 0.018590186007679959 0.015596436007679959 6.2096654722939322
6 0.0039750000000000002 0.014723241891282313 0.010748241891282314 3.7039602242219654
7 0.0043687500000000002 0.013894822522858305 0.0095260725228583053 3.1805030095240752
8 0.0052750000000000002 0.032713933571591705 0.027438933571591703 6.2016935680742566
9 0.0073250000000000008 0.06056025633241318 0.053235256332413182 8.2676117859949727
10 0.0097375000000000014 0.045159070070969906 0.035421570070969903 4.6376451934243796
11 0.011072500000000001 0.051122587065608911 0.040050087065608912 4.6170771791021821
12 0.01405375 0.042370898653103777 0.028317148653103776 3.0149176307465106
13 0.017434999999999996 0.042284617637169113 0.024849617637169117 2.4252720181915186
14 0.019213750000000002 0.050586096597839171 0.031372346597839169 2.6328070573333768
15 0.018118750000000003 0.040483896834048731 0.022365146834048728 2.2343647786987915
16 0.019393749999999998 0.035775607268563256 0.016381857268563258 1.8446977644118987
17 0.020027500000000004 0.036916028623837284 0.01688852862383728 1.8432669391505319
18 0.023328749999999999 0.034326105918968779 0.01099735591896878 1.4714078516409486
19 0.026975000000000002 0.031023457007944392 0.00404845700794439 1.1500818167912656
FROZEN DIRECT REPLAY 8 improved 2 min_ratio 1.0301658123534885 mass matrix difference 9.71445146547012e-17
bin required mass slack ratio
0 0.00018125000000000001 0.0001867175534890698 5.4675534890697829e-06 1.0301658123534885
1 0.000165625 0.0021871780834537636 0.0020215530834537636 13.205603522739704
2 0.00068749999999999996 0.0036259661361439906 0.0029384661361439909 5.2741325616639863
3 0.0011375000000000001 0.0022165002392102937 0.0010790002392102936 1.9485716388661922
4 0.001475 0.0037543914837913153 0.0022793914837913156 2.5453501585025866
5 0.0029937499999999999 0.018294826421654361 0.015301076421654361 6.1110067379221249
6 0.0039875000000000006 0.015478236612077282 0.011490736612077283 3.8816894324958695
7 0.0043812500000000015 0.013435055360916081 0.0090538053609160798 3.0664890980692898
8 0.0052249999999999987 0.032405855179241355 0.027180855179241355 6.2020775462662892
9 0.0073468749999999984 0.060038898498034433 0.052692023498034438 8.1720321222335279
10 0.0097437500000000007 0.045212210700682133 0.035468460700682131 4.6401242540789873
11 0.011021250000000002 0.052295812952810578 0.041274562952810574 4.7449983398262967
12 0.014096874999999998 0.042043531411237157 0.027946656411237159 2.982471747194833
13 0.017404375 0.041626196667963224 0.024221821667963224 2.3917087897705733
14 0.019289374999999997 0.051921568782005684 0.032632193782005686 2.6917185643394714
15 0.018019374999999997 0.039952751902271773 0.021933376902271776 2.2172107468917086
16 0.019400624999999994 0.035144318918190608 0.015743693918190613 1.8115044705101313
17 0.020126249999999995 0.037223493616286352 0.017097243616286357 1.8494997138705105
18 0.023293124999999998 0.0342497647833871 0.010956639783387102 1.4703808434199834
19 0.027025000000000004 0.032056550012661056 0.005031550012661052 1.1861813140670139
